operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
KMB,AMR,KMB Metrorider (AMR),244,2,https://1005.idv.hk/index.php?page=11&p=244
KMB,AN,KMB Dennis Lance (AN),35,24,https://1005.idv.hk/index.php?page=11&p=35
KMB,AP,KMB Mitsubishi MP618N (AP),37,1,https://1005.idv.hk/index.php?page=11&p=37
KMB,AP,KMB Neoplan Centroliner N4026/N4426 (AP),19,162,https://1005.idv.hk/index.php?page=11&p=19
KMB,APM,KMB Neoman A34 (APM),20,1,https://1005.idv.hk/index.php?page=11&p=20
KMB,AS,KMB Scania N113 (AS),27,22,https://1005.idv.hk/index.php?page=11&p=27
KMB,ASB,KMB Scania K230UB (10.6m) (ASB),296,20,https://1005.idv.hk/index.php?page=11&p=296
KMB,ASC,KMB Scania K230UB 12m (ASC),298,29,https://1005.idv.hk/index.php?page=11&p=298
KMB,ASC,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,ASCU,KMB Scania K230UB 12m (Euro 5) (ASCU),304,1,https://1005.idv.hk/index.php?page=11&p=304
KMB,ASU,KMB Scania K310UD (ASU),274,22,https://1005.idv.hk/index.php?page=11&p=274
KMB,ASUD,KMB Scania K280UD (ASUD),353,2,https://1005.idv.hk/index.php?page=11&p=353
KMB,ASV,KMB Volvo Super Olympian 10.6m (ASV),21,100,https://1005.idv.hk/index.php?page=11&p=21
KMB,AT,KMB Toyota Coaster (AT),36,91,https://1005.idv.hk/index.php?page=11&p=36
KMB,ATE,KMB TransBus Enviro 500 (ATE),1,272,https://1005.idv.hk/index.php?page=11&p=1
KMB,ATEE,KMB Alexander Dennis Enviro 500 (Euro V) (ATEE),295,41,https://1005.idv.hk/index.php?page=11&p=295
KMB,ATEE,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,ATENU,"KMB Alexander Dennis Enviro 500 MMC 12m (ATENU,E5T)",331,876,https://1005.idv.hk/index.php?page=11&p=331
KMB,ATENU,"KMB Alexander Dennis Enviro 500 MMC 12m (New Facelift) (ATENU,TW)",366,850,https://1005.idv.hk/index.php?page=11&p=366
KMB,ATEU,KMB Alexander Dennis Enviro 500 (Euro IV/ Euro V) (ATEU),268,63,https://1005.idv.hk/index.php?page=11&p=268
KMB,ATEU,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,ATH,KMB Alexander Dennis Enviro 500 Hybrid (ATH),346,3,https://1005.idv.hk/index.php?page=11&p=346
KMB,ATR,KMB Dennis Trident 12m (ATR),22,496,https://1005.idv.hk/index.php?page=11&p=22
KMB,ATR,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,ATS,KMB Dennis Trident 10.6m (ATS),18,150,https://1005.idv.hk/index.php?page=11&p=18
KMB,ATSE,KMB Enviro 400 (ATSE),305,51,https://1005.idv.hk/index.php?page=11&p=305
KMB,AV,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,AV,KMB Volvo Olympian 11m (A/C) (AV),28,531,https://1005.idv.hk/index.php?page=11&p=28
